"prod","month","sales_count_between_avgs"
"Bread",1,NULL
"Bread",2,NULL
"Bread",3,NULL
"Bread",4,NULL
"Bread",5,NULL
"Bread",6,NULL
"Bread",7,NULL
"Bread",8,"3"
"Bread",9,NULL
"Bread",10,NULL
"Bread",11,NULL
"Bread",12,NULL
"Butter",1,NULL
"Butter",2,NULL
"Butter",3,"2"
"Butter",4,NULL
"Butter",5,NULL
"Butter",6,NULL
"Butter",7,NULL
"Butter",8,NULL
"Butter",9,NULL
"Butter",10,NULL
"Butter",11,NULL
"Butter",12,NULL
"Coke",1,NULL
"Coke",2,NULL
"Coke",3,NULL
"Coke",4,NULL
"Coke",5,NULL
"Coke",6,"1"
"Coke",7,"1"
"Coke",8,NULL
"Coke",9,"1"
"Coke",10,NULL
"Coke",11,NULL
"Coke",12,NULL
"Cookies",1,NULL
"Cookies",2,NULL
"Cookies",3,NULL
"Cookies",4,NULL
"Cookies",5,NULL
"Cookies",6,"1"
"Cookies",7,NULL
"Cookies",8,NULL
"Cookies",9,NULL
"Cookies",10,NULL
"Cookies",11,"1"
"Cookies",12,NULL
"Eggs",1,NULL
"Eggs",2,NULL
"Eggs",3,NULL
"Eggs",4,"2"
"Eggs",5,NULL
"Eggs",6,NULL
"Eggs",7,"1"
"Eggs",8,NULL
"Eggs",9,NULL
"Eggs",10,NULL
"Eggs",11,NULL
"Eggs",12,NULL
"Fruits",1,NULL
"Fruits",2,NULL
"Fruits",3,NULL
"Fruits",4,"5"
"Fruits",5,NULL
"Fruits",6,NULL
"Fruits",7,"3"
"Fruits",8,NULL
"Fruits",9,NULL
"Fruits",10,"1"
"Fruits",11,NULL
"Fruits",12,NULL
"Milk",1,NULL
"Milk",2,NULL
"Milk",3,NULL
"Milk",4,NULL
"Milk",5,NULL
"Milk",6,NULL
"Milk",7,NULL
"Milk",8,"1"
"Milk",9,NULL
"Milk",10,NULL
"Milk",11,NULL
"Milk",12,NULL
"Pepsi",1,NULL
"Pepsi",2,NULL
"Pepsi",3,NULL
"Pepsi",4,NULL
"Pepsi",5,NULL
"Pepsi",6,NULL
"Pepsi",7,NULL
"Pepsi",8,NULL
"Pepsi",9,"2"
"Pepsi",10,NULL
"Pepsi",11,NULL
"Pepsi",12,NULL
"Soap",1,NULL
"Soap",2,NULL
"Soap",3,NULL
"Soap",4,NULL
"Soap",5,NULL
"Soap",6,NULL
"Soap",7,NULL
"Soap",8,NULL
"Soap",9,NULL
"Soap",10,NULL
"Soap",11,"4"
"Soap",12,NULL
"Yogurt",1,NULL
"Yogurt",2,NULL
"Yogurt",3,NULL
"Yogurt",4,NULL
"Yogurt",5,"1"
"Yogurt",6,NULL
"Yogurt",7,NULL
"Yogurt",8,NULL
"Yogurt",9,NULL
"Yogurt",10,NULL
"Yogurt",11,NULL
"Yogurt",12,NULL
