"customer","product","month","before_avg","during_avg","after_avg"
"Bloom","Bread",1,NULL,"2220.000","4778.000"
"Bloom","Bread",2,"2220.000","4778.000","3034.500"
"Bloom","Bread",3,"4778.000","3034.500","417.000"
"Bloom","Bread",4,"3034.500","417.000",NULL
"Bloom","Bread",5,"417.000",NULL,"600.000"
"Bloom","Bread",6,NULL,"600.000","1494.000"
"Bloom","Bread",7,"600.000","1494.000","3100.000"
"Bloom","Bread",8,"1494.000","3100.000","2479.500"
"Bloom","Bread",9,"3100.000","2479.500",NULL
"Bloom","Bread",10,"2479.500",NULL,NULL
"Bloom","Bread",11,NULL,NULL,"1106.000"
"Bloom","Bread",12,NULL,"1106.000",NULL
"Bloom","Butter",1,NULL,NULL,NULL
"Bloom","Butter",2,NULL,NULL,NULL
"Bloom","Butter",3,NULL,NULL,NULL
"Bloom","Butter",4,NULL,NULL,NULL
"Bloom","Butter",5,NULL,NULL,NULL
"Bloom","Butter",6,NULL,NULL,NULL
"Bloom","Butter",7,NULL,NULL,"1054.000"
"Bloom","Butter",8,NULL,"1054.000","3718.000"
"Bloom","Butter",9,"1054.000","3718.000","4279.000"
"Bloom","Butter",10,"3718.000","4279.000",NULL
"Bloom","Butter",11,"4279.000",NULL,NULL
"Bloom","Butter",12,NULL,NULL,NULL
"Bloom","Coke",1,NULL,"928.000","1229.000"
"Bloom","Coke",2,"928.000","1229.000",NULL
"Bloom","Coke",3,"1229.000",NULL,"2681.000"
"Bloom","Coke",4,NULL,"2681.000",NULL
"Bloom","Coke",5,"2681.000",NULL,NULL
"Bloom","Coke",6,NULL,NULL,"3450.667"
"Bloom","Coke",7,NULL,"3450.667","279.000"
"Bloom","Coke",8,"3450.667","279.000","2714.000"
"Bloom","Coke",9,"279.000","2714.000","2867.000"
"Bloom","Coke",10,"2714.000","2867.000",NULL
"Bloom","Coke",11,"2867.000",NULL,NULL
"Bloom","Coke",12,NULL,NULL,NULL
"Bloom","Cookies",1,NULL,NULL,NULL
"Bloom","Cookies",2,NULL,NULL,NULL
"Bloom","Cookies",3,NULL,NULL,NULL
"Bloom","Cookies",4,NULL,NULL,NULL
"Bloom","Cookies",5,NULL,NULL,"2781.500"
"Bloom","Cookies",6,NULL,"2781.500","4546.000"
"Bloom","Cookies",7,"2781.500","4546.000",NULL
"Bloom","Cookies",8,"4546.000",NULL,"2867.333"
"Bloom","Cookies",9,NULL,"2867.333","4057.500"
"Bloom","Cookies",10,"2867.333","4057.500","796.000"
"Bloom","Cookies",11,"4057.500","796.000",NULL
"Bloom","Cookies",12,"796.000",NULL,NULL
"Bloom","Eggs",1,NULL,"2819.000",NULL
"Bloom","Eggs",2,"2819.000",NULL,NULL
"Bloom","Eggs",3,NULL,NULL,"3403.000"
"Bloom","Eggs",4,NULL,"3403.000","4177.000"
"Bloom","Eggs",5,"3403.000","4177.000",NULL
"Bloom","Eggs",6,"4177.000",NULL,"1219.000"
"Bloom","Eggs",7,NULL,"1219.000",NULL
"Bloom","Eggs",8,"1219.000",NULL,"3150.000"
"Bloom","Eggs",9,NULL,"3150.000",NULL
"Bloom","Eggs",10,"3150.000",NULL,"1053.333"
"Bloom","Eggs",11,NULL,"1053.333",NULL
"Bloom","Eggs",12,"1053.333",NULL,NULL
"Bloom","Fruits",1,NULL,"3571.333","776.000"
"Bloom","Fruits",2,"3571.333","776.000","983.500"
"Bloom","Fruits",3,"776.000","983.500","1631.000"
"Bloom","Fruits",4,"983.500","1631.000","4444.000"
"Bloom","Fruits",5,"1631.000","4444.000","26.000"
"Bloom","Fruits",6,"4444.000","26.000","2359.333"
"Bloom","Fruits",7,"26.000","2359.333","3946.000"
"Bloom","Fruits",8,"2359.333","3946.000",NULL
"Bloom","Fruits",9,"3946.000",NULL,NULL
"Bloom","Fruits",10,NULL,NULL,"2926.000"
"Bloom","Fruits",11,NULL,"2926.000",NULL
"Bloom","Fruits",12,"2926.000",NULL,NULL
"Bloom","Milk",1,NULL,"3401.500",NULL
"Bloom","Milk",2,"3401.500",NULL,"2843.000"
"Bloom","Milk",3,NULL,"2843.000","3516.000"
"Bloom","Milk",4,"2843.000","3516.000","1807.000"
"Bloom","Milk",5,"3516.000","1807.000",NULL
"Bloom","Milk",6,"1807.000",NULL,NULL
"Bloom","Milk",7,NULL,NULL,NULL
"Bloom","Milk",8,NULL,NULL,"1106.000"
"Bloom","Milk",9,NULL,"1106.000","2951.000"
"Bloom","Milk",10,"1106.000","2951.000",NULL
