"customer","product","state","average","other_cust_avg","other_prod_avg"
"Bloom","Bread","CT","1529.600","2320.750","2782.429"
"Bloom","Bread","NJ","2160.600","2056.200","2567.167"
"Bloom","Bread","NY","3792.000","2622.857","2546.353"
"Bloom","Bread","PA","3100.000","1959.300","2146.409"
"Bloom","Butter","CT","4279.000","1652.167","2472.000"
"Bloom","Butter","NJ","3718.000","2224.933","2453.464"
"Bloom","Butter","NY","1054.000","2261.500","2707.412"
"Bloom","Coke","CT","2284.000","2490.875","2562.958"
"Bloom","Coke","NJ","2017.000","2577.364","2552.462"
"Bloom","Coke","NY","1229.000","1916.250","2697.118"
"Bloom","Coke","PA","3067.333","3458.857","2055.950"
"Bloom","Cookies","CT","2640.750","2695.200","2523.455"
"Bloom","Cookies","NJ","4063.500","2352.800","2381.037"
"Bloom","Cookies","NY","4570.000","2411.125","2500.588"
"Bloom","Cookies","PA","2181.000","2020.300","2188.524"
"Bloom","Eggs","CT","2410.750","2406.444","2565.273"
"Bloom","Eggs","NJ","2765.500","2659.625","2477.185"
"Bloom","Eggs","NY","2164.000","2909.556","2744.571"
"Bloom","Eggs","PA","3723.000","2116.500","2118.091"
"Bloom","Fruits","CT","3639.333","2058.750","2398.304"
"Bloom","Fruits","NJ","2234.000","2712.667","2527.423"
"Bloom","Fruits","NY","2332.750","2252.727","2696.357"
"Bloom","Fruits","PA","2151.429","2676.500","2203.813"
"Bloom","Milk","CT","3117.333","1577.833","2466.391"
"Bloom","Milk","NJ","2380.000","3400.000","2515.800"
"Bloom","Milk","NY","3306.333","1978.182","2477.400"
"Bloom","Milk","PA","2383.333","2085.182","2158.550"
"Bloom","Pepsi","CT","94.000","2685.929","2639.400"
"Bloom","Pepsi","NJ","2194.000","2938.875","2545.560"
"Bloom","Pepsi","NY","2243.000","3370.500","2662.125"
"Bloom","Pepsi","PA","2034.000","2052.333","2194.864"
"Bloom","Soap","CT","2505.000","1866.364","2544.542"
"Bloom","Soap","NJ","4364.000","2200.923","2430.393"
"Bloom","Soap","PA","1630.000","2291.556","2271.550"
"Bloom","Yogurt","CT","4004.000","2450.333","2483.000"
"Bloom","Yogurt","NJ","2205.750","2020.167","2543.680"
"Bloom","Yogurt","NY","4043.000","2403.000","2531.588"
"Bloom","Yogurt","PA","400.000","3116.125","2358.143"
"Emily","Bread","CT","1626.000","2116.938","2688.458"
"Emily","Bread","NJ","1743.750","2217.273","2804.364"
"Emily","Bread","NY","1281.500","3264.833","2716.682"
"Emily","Bread","PA","1393.000","2314.250","2254.286"
"Emily","Butter","CT","1843.750","2272.333","2798.762"
"Emily","Butter","NJ","2576.000","2281.429","2646.625"
"Emily","Butter","NY","2826.000","2134.929","2587.130"
"Emily","Butter","PA","2749.500","1444.375","2091.818"
"Emily","Coke","CT","2456.333","2470.200","2671.818"
"Emily","Coke","NJ","2269.000","2508.636","2689.739"
"Emily","Coke","NY","2501.667","1509.000","2610.714"
"Emily","Cookies","CT","3962.333","2329.818","2466.455"
"Emily","Cookies","NJ","1774.800","3254.429","2847.476"
"Emily","Cookies","NY","2463.500","2801.000","2623.800"
"Emily","Cookies","PA","3037.500","1551.875","1968.450"
"Emily","Eggs","CT","2722.000","2381.583","2642.792"
"Emily","Eggs","NJ","3845.000","1904.667","2422.318"
"Emily","Eggs","NY","2787.000","2648.100","2569.952"
"Emily","Eggs","PA","1654.250","2500.444","2245.100"
"Emily","Fruits","CT","3055.000","2326.286","2628.917"
"Emily","Fruits","NJ","4056.000","2300.400","2523.292"
"Emily","Fruits","NY","2463.000","2205.364","2623.900"
"Emily","Fruits","PA","2340.000","2566.067","2082.167"
"Emily","Milk","CT","1957.333","1867.833","2739.864"
"Emily","Milk","NJ","3839.000","2646.833","2593.280"
"Emily","Milk","NY","4986.000","2053.308","2493.217"
"Emily","Milk","PA","2203.333","2134.273","2138.524"
"Emily","Pepsi","CT","4356.667","2052.250","2412.682"
"Emily","Pepsi","NJ","2591.000","2800.368","2643.200"
"Emily","Pepsi","NY","2719.500","3275.200","2585.955"
"Emily","Pepsi","PA","1682.000","2111.000","2166.826"
"Emily","Soap","CT","2241.667","1881.500","2701.091"
"Emily","Soap","NJ","2868.333","2215.545","2611.565"
"Emily","Soap","NY","3218.000","2686.000","2570.087"
"Emily","Soap","PA","742.000","2252.000","2207.696"
"Emily","Yogurt","CT","2149.333","2801.286","2713.682"
"Emily","Yogurt","NJ","2336.000","2067.556","2653.400"
"Emily","Yogurt","NY","2575.333","2527.778","2600.190"
"Helen","Bread","CT","3016.667","1889.071","2208.613"
"Helen","Bread","NJ","2100.000","2089.615","2375.214"
"Helen","Bread","NY","3381.667","2401.400","2235.538"
"Helen","Bread","PA","1637.000","2105.600","2199.611"
"Helen","Butter","CT","306.000","2314.333","2339.727"
"Helen","Butter","NJ","1708.444","3102.286","2634.762"
"Helen","Butter","NY","2685.286","1739.750","2248.727"
"Helen","Butter","PA","1502.800","1908.000","2408.286"
"Helen","Coke","CT","2648.429","2353.000","2184.370"
"Helen","Coke","NJ","2904.600","2208.778","2247.320"
"Helen","Coke","NY","1534.500","1927.143","2414.815"
"Helen","Coke","PA","3132.000","3364.667","2116.556"
"Helen","Cookies","CT","1179.000","2929.750","2348.719"
"Helen","Cookies","NJ","1965.000","2699.091","2370.379"
"Helen","Cookies","NY","2287.000","2755.000","2359.074"
"Helen","Eggs","CT","2301.500","2455.000","2277.033"
